sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,"['note_on', 'note_on']","[0, 0]","[69, 69]","[100, 75]",mf,1,2,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[69, 70, 70]","[64, 100, 68]",mf,1,3,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,['note_off'],[0],[69],[64],mp,0,1,0,0,"[94, 50, 6, 0]",0
1.5,"['note_off', 'note_on', 'note_on', 'note_on', 'note_on', 'note_off']","[0, 0, 0, 0, 0, 0]","[70, 41, 72, 72, 41, 70]","[64, 86, 87, 70, 60, 64]",mp,0,6,0,0,"[28, 64, 127]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_off'],[0],[72],[64],mp,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,"['note_on', 'note_on', 'note_off']","[0, 0, 0]","[48, 48, 41]","[91, 64, 64]",mp,0,3,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[53],[55],p,0,1,0,0,0,0
2.5,"['note_off', 'note_on', 'note_on', 'note_off', 'note_on']","[0, 0, 0, 0, 0]","[72, 53, 65, 48, 65]","[64, 96, 94, 64, 73]",mf,1,5,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_off', 'note_on', 'note_on', 'note_off']","[0, 0, 0, 0]","[65, 64, 64, 53]","[64, 96, 66, 64]",mp,0,4,0,0,0,0
2.8,['note_off'],[0],[65],[64],mp,0,1,0,0,0,0
2.9,[],[],[],[],ppp,0,0,0,0,"[100, 76, 58, 46, 44]",0
3.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on', 'note_on', 'note_on', 'note_off']","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[41, 48, 53, 64, 45, 65, 45, 65, 64]","[64, 64, 64, 64, 100, 100, 57, 77, 64]",mp,0,9,0,0,"[52, 62, 74, 92, 112, 127]",0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_off'],[0],[65],[64],mp,0,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_off']","[0, 0, 0]","[53, 52, 45]","[100, 55, 64]",mp,0,3,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[57],[51],p,0,1,0,0,0,0
4.0,"['note_off', 'note_on', 'note_on', 'note_off', 'note_on']","[0, 0, 0, 0, 0]","[65, 57, 72, 52, 72]","[64, 100, 100, 64, 77]",mf,1,5,0,0,0,0
4.1,"['note_off', 'note_off']","[0, 0]","[57, 72]","[64, 64]",mp,0,2,0,0,0,0
4.3,[],[],[],[],ppp,0,0,0,0,"[112, 92]",0
4.4,"['note_on', 'note_on']","[0, 0]","[46, 72]","[66, 77]",mp,0,2,0,0,"[76, 68, 66, 68, 78, 92, 112, 127]",0
4.5,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[45, 53, 57, 72, 46, 72]","[64, 64, 64, 64, 100, 100]",mf,0,6,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_off', 'note_on']","[0, 0]","[46, 53]","[64, 48]",p,0,2,0,0,0,0
5.0,['note_on'],[0],[53],[100],f,1,1,0,0,0,0
5.1,['note_off'],[0],[72],[64],mp,0,1,0,0,0,0
5.2,"['note_on', 'note_off', 'note_on']","[0, 0, 0]","[74, 72, 74]","[66, 64, 100]",mf,0,3,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_off', 'note_on', 'note_on', 'note_on', 'note_off', 'note_on', 'note_off']","[0, 0, 0, 0, 0, 0, 0]","[74, 58, 70, 58, 53, 70, 74]","[64, 100, 100, 68, 64, 75, 64]",mf,1,7,0,0,0,0
5.6,['note_off'],[0],[58],[64],mp,0,1,0,0,0,0
