sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[81, 54]","[70, 72]",mp,0,2,0,0,0,0
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 54, 80, 61]","[0, 0, 71, 88]",pp,0,4,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 61, 81, 66]","[0, 0, 79, 90]",pp,0,4,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_off', 'note_on']","[0, 0]","[81, 80]","[0, 68]",ppp,0,2,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 66, 81, 50]","[0, 0, 75, 65]",ppp,0,4,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 50, 76, 57]","[0, 0, 68, 82]",pp,0,4,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 57, 81, 64]","[0, 0, 85, 91]",pp,0,4,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_off', 'note_on']","[0, 0]","[81, 74]","[0, 65]",ppp,0,2,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_off', 'note_on']","[0, 0]","[74, 69]","[0, 66]",ppp,0,2,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_off', 'note_on']","[0, 0]","[69, 73]","[0, 79]",pp,0,2,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[73, 64, 81, 54]","[0, 0, 92, 65]",pp,0,4,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 54, 80, 61]","[0, 0, 79, 91]",pp,0,4,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 61, 81, 66]","[0, 0, 77, 86]",pp,0,4,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_off', 'note_on']","[0, 0]","[81, 80]","[0, 73]",pp,0,2,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 66, 81, 50]","[0, 0, 81, 71]",pp,0,4,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 50, 76, 57]","[0, 0, 64, 85]",pp,0,4,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 57, 81, 64]","[0, 0, 86, 90]",pp,0,4,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_off', 'note_on']","[0, 0]","[81, 74]","[0, 61]",ppp,0,2,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,"['note_off', 'note_on']","[0, 0]","[74, 69]","[0, 68]",ppp,0,2,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_off', 'note_on']","[0, 0]","[69, 73]","[0, 82]",pp,0,2,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[73, 64, 81, 54]","[0, 0, 93, 68]",pp,0,4,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 54, 80, 61]","[0, 0, 77, 87]",pp,0,4,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
