sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[81, 54]","[70, 72]",mp,0,2,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 54, 80, 61]","[0, 0, 71, 88]",pp,0,4,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 61, 81, 66]","[0, 0, 79, 90]",pp,0,4,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_off', 'note_on']","[0, 0]","[81, 80]","[0, 68]",ppp,0,2,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 66, 81, 50]","[0, 0, 75, 65]",ppp,0,4,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 50, 76, 57]","[0, 0, 68, 82]",pp,0,4,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 57, 81, 64]","[0, 0, 85, 91]",pp,0,4,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_off', 'note_on']","[0, 0]","[81, 74]","[0, 65]",ppp,0,2,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_off', 'note_on']","[0, 0]","[74, 69]","[0, 66]",ppp,0,2,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_off', 'note_on']","[0, 0]","[69, 73]","[0, 79]",pp,0,2,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[73, 64, 81, 54]","[0, 0, 92, 65]",pp,0,4,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 54, 80, 61]","[0, 0, 79, 91]",pp,0,4,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 61, 81, 66]","[0, 0, 77, 86]",pp,0,4,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_off', 'note_on']","[0, 0]","[81, 80]","[0, 73]",pp,0,2,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 66, 81, 50]","[0, 0, 81, 71]",pp,0,4,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
