sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[69],[100],f,1,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_off', 'note_on']","[0, 0]","[69, 70]","[64, 100]",mf,1,2,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[70, 41, 72]","[64, 86, 87]",mf,1,3,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[48],[91],f,1,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[72, 53, 65]","[64, 96, 94]",mf,1,3,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_off', 'note_on']","[0, 0]","[65, 64]","[64, 96]",mf,1,2,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[41, 48, 53, 64, 45, 65]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[53],[100],f,1,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[65, 57, 72]","[64, 100, 100]",f,1,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[45, 53, 57, 72, 46, 72]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,['note_on'],[0],[53],[100],f,1,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_off', 'note_on']","[0, 0]","[72, 74]","[64, 100]",mf,1,2,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[74, 58, 70]","[64, 100, 100]",f,1,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,"['note_off', 'note_on']","[0, 0]","[70, 69]","[64, 100]",mf,1,2,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[46, 53, 58, 69, 48, 70]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[55],[100],f,1,1,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[70, 60, 69]","[64, 100, 100]",f,1,3,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_off', 'note_on']","[0, 0]","[69, 70]","[64, 100]",mf,1,2,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[48, 55, 60, 70, 41, 72]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[48],[100],f,1,1,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[72, 53, 65]","[64, 100, 100]",f,1,3,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,"['note_off', 'note_on']","[0, 0]","[65, 64]","[64, 100]",mf,1,2,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[41, 48, 53, 64, 45, 65]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,['note_on'],[0],[53],[100],f,1,1,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[65, 57, 69]","[64, 100, 100]",f,1,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[45, 53, 57, 69, 46, 62]","[64, 64, 64, 64, 100, 101]",mf,1,6,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,['note_on'],[0],[53],[100],f,1,1,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,['note_on'],[0],[58],[100],f,1,1,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[46, 62, 53, 58, 48, 64]","[64, 64, 64, 64, 100, 94]",mf,0,6,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[55],[100],f,1,1,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 69]","[64, 100, 92]",mf,1,3,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,"['note_off', 'note_on']","[0, 0]","[69, 70]","[64, 90]",mf,1,2,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[48, 55, 60, 70, 41, 72]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,['note_on'],[0],[48],[100],f,1,1,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[72, 53, 65]","[64, 100, 100]",f,1,3,0,0,0,0
14.6,[],[],[],[],,0,0,0,0,0,0
14.7,"['note_off', 'note_on']","[0, 0]","[65, 64]","[64, 100]",mf,1,2,0,0,0,0
14.9,[],[],[],[],,0,0,0,0,0,0
15.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[41, 48, 53, 64, 45, 65]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,['note_on'],[0],[53],[100],f,1,1,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,0,0
16.0,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[65, 57, 72]","[64, 100, 100]",f,1,3,0,0,0,0
16.4,[],[],[],[],,0,0,0,0,0,0
16.5,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[45, 53, 57, 72, 46, 72]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
